gradesci,sci_term1 ,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
2.50,2.5,2.5,1.5,2.5,2.5,3.02,25
1.65,1.5,1.5,1.5,1,2,2.32,13
2.56,3,3,1.5,2.5,2,2.85,38
3.18,3,3,3,3,2,3.14,58
3.57,4,3,3.5,3.5,3.5,3.51,66
3.98,4,4,4,4,4,3.94,64
3.86,4,3.5,4,4,3.5,3.86,76
2.46,2.5,1.5,2,2,1,2.69,36
3.91,4,4,4,4,4,3.33,84
3.59,3,3.5,3.5,3.5,3.5,3.68,64
2.98,3,3,2.5,2.5,1,3.14,38
3.54,4,3,3.5,3.5,2.5,3.20,66
2.98,3.5,2,2,3,2,3.07,50
3.52,3.5,3.5,3.5,4,3,3.45,70
3.98,4,4,4,4,4,3.90,70
3.88,4,4,3.5,4,3.5,3.75,50
4.00,4,4,4,4,4,3.88,76
3.98,4,4,4,4,4,3.92,74
3.95,4,4,3.5,4,4,3.90,88
3.98,4,4,4,4,4,3.99,78
3.54,3.5,3.5,3,3,3,3.61,75
4.00,4,4,4,4,4,4.00,88
3.77,4,3.5,3.5,4,3,3.93,78
4.00,4,4,4,4,4,3.92,78
4.00,4,4,4,4,4,3.83,70
3.39,3,3,3,3.5,2,3.67,68
3.96,4,4,4,4,4,3.86,77
3.68,3,3.5,3.5,4,3,3.82,76
3.91,4,4,4,4,3.5,3.92,74
3.41,3.5,3,2.5,3,2.5,3.48,66
4.00,4,4,4,4,4,3.92,82
3.30,4,3,2.5,3,1.5,3.41,68
3.95,3.5,4,4,4,4,3.92,88
3.84,4,3.5,3.5,4,3.5,3.88,50
4.00,4,4,4,4,4,3.98,72
2.68,2.5,2.5,2,2,3.5,2.87,36
2.55,3,2.5,2,1.5,2.5,2.73,30
2.90,3,3,3.5,2.5,2,3.01,44
2.50,2,2.5,2,2,2.5,2.90,32
3.98,4,4,4,4,4,3.49,76
3.43,3.5,3.5,3.5,3,3.5,3.39,70
3.78,4,4,4,3.5,4,3.70,62
2.13,1.5,2,2,1,2,2.30,38
2.65,2,2,3,3,2.5,2.82,38
2.60,2.5,2.5,2.5,2.5,2,2.83,42
2.95,3,3,3,2.5,2.5,3.13,42
3.30,3.5,3.5,3.5,3,3,3.18,65
2.63,2.5,3.5,1.5,1,2.5,3.17,42
3.53,3.5,2.5,4,3.5,3.5,3.55,50
3.93,4,3.5,4,4,4,3.84,78
2.90,2.5,2.5,2.5,2.5,3,3.15,36
3.93,4,4,4,4,4,3.69,78
3.98,4,4,4,4,4,3.80,88
3.53,3.5,2.5,4,3.5,3.5,3.33,50
3.73,4,2.5,4,4,4,3.82,62
2.80,3,2.5,2,2.5,2.5,3.00,40
3.38,3.5,2.5,3,3.5,3.5,3.67,60
3.15,3.5,2,3,3,3,3.48,55
3.98,4,4,4,4,4,3.95,88
3.68,4,2,4,4,4,3.79,50
3.75,4,2.5,4,4,4,3.71,65
3.38,3.5,3,4,2,3.5,3.54,54
3.13,3.5,3,3,3,2.5,3.57,54
3.70,4,3.5,3.5,3,4,3.83,66
2.28,1.5,1.5,2.5,2,1,2.66,32
3.55,3.5,2.5,4,4,4,3.62,66
2.60,3,2,2.5,2.5,1.5,3.11,58
3.28,4,4,3,3,2,3.02,62
3.38,4,3,3,3.5,2.5,3.55,52
3.60,3.5,3,3.5,3.5,4,3.49,56
3.25,4,2.5,3,3,2.5,3.58,50
3.10,4,2.5,3,2.5,2,3.55,38
3.25,3.5,3.5,3.5,3,2.5,3.43,52
2.38,3,2,2.5,1.5,1,2.50,50
3.00,3.5,2.5,3,3,1.5,3.32,58
2.98,3,1.5,2.5,2.5,4,3.44,46
3.63,3.5,2.5,4,4,3.5,3.66,62
3.50,4,3,3,3.5,4,3.53,64
3.55,4,3.5,3,3,4,3.63,50
2.83,3,2.5,3,2.5,2,2.93,54
3.08,4,3,2.5,2.5,2,3.46,40
2.83,4,3,1.5,2.5,1.5,3.10,50
3.03,3.5,2,3,2.5,2.5,3.19,48
3.25,4,3,3,3,3,3.31,58
3.40,4,2,3,3.5,3.5,3.78,32
3.58,4,2,3.5,4,4,3.73,56
3.85,4,3.5,3.5,4,4,3.93,54
3.58,4,2.5,3,4,4,3.71,52
3.48,4,3,3,3,4,3.63,62
4.00,4,4,4,4,4,3.97,88
4.00,4,4,4,4,4,3.89,68
3.20,3.5,1.5,3,4,3,3.76,56
3.40,3,2.5,3,4,3.5,3.79,60
4.00,4,4,4,4,4,3.97,95
3.28,4,2.5,3,3.5,2.5,3.60,52
2.95,4,2,3,3,1,3.24,50
3.48,4,2.5,3.5,3.5,3,3.76,58
3.85,4,3,4,4,4,3.87,66
3.43,3.5,2,3.5,4,3.5,3.81,62
3.55,4,2.5,3,3.5,4,3.88,64
2.65,3,1.5,2.5,3,1,3.31,42
3.50,4,3,3,3.5,3.5,3.66,56
3.48,4,2.5,3,3.5,3.5,3.68,42
3.78,4,3,3.5,4,4,3.89,64
3.10,3.5,2.5,3,3,2,3.38,54
3.48,4,3,3.5,3.5,2.5,3.69,58
3.55,4,2.5,3,4,3.5,3.74,48
4.00,4,4,4,4,4,3.95,90
3.48,4,2.5,3.5,3.5,3,3.62,46
3.41,3,3,2.5,3.5,3,3.46,42
3.57,4,3.5,3.5,3,3,3.62,64
3.54,3,4,2.5,3.5,3,3.65,52
3.66,4,4,3,3.5,3,3.77,62
3.04,3,3,2,3,1.5,3.51,44
3.55,4,3.5,2.5,4,3,3.76,74
3.68,4,3.5,2.5,3.5,4,3.83,50
3.71,4,4,3.5,4,3,3.45,72
3.79,4,4,4,4,3.5,3.82,52
2.96,2,2.5,2,3.5,2,3.29,30
3.95,4,3.5,4,4,4,3.98,66
4.00,4,4,4,4,4,3.99,68
3.93,4,4,3.5,4,4,3.95,52
3.93,4,4,4,4,3.5,3.87,78
4.00,4,4,4,4,4,4.00,82
3.98,4,4,4,4,4,3.92,54
3.48,3,3.5,2,4,3,3.71,48
3.84,4,4,3,4,3.5,3.97,60
4.00,4,4,4,4,4,3.99,80
3.86,4,4,3.5,4,3.5,3.95,48
3.00,3.5,3,2,3,1.5,2.90,40
4.00,4,4,4,4,4,4.00,90
3.73,4,3.5,3.5,3.5,3,3.90,60
3.84,4,4,3,4,4,3.89,64
3.63,4,4,3,3.5,2.5,3.65,48
3.96,4,4,4,4,4,3.98,68
3.89,4,4,3,4,4,3.97,56
3.84,4,4,3.5,4,3,3.95,48
3.05,4,3.5,2.5,3,3,2.80,52
3.00,3,3,3.5,2.5,4,3.05,44
2.50,3,2.5,2.5,2,2,2.28,38
3.10,3.5,3,3,2.5,3,3.10,48
2.33,2.5,3,2,1.5,2.5,2.89,44
3.25,3,3.5,4,4,3.5,2.98,34
2.60,3,3,2,2,3.5,2.90,46
3.00,3,2.5,3,2.5,3.5,3.34,46
3.40,3.5,3.5,3,3,4,3.58,30
2.98,3,3,3.5,2.5,3,3.24,40
2.63,2.5,2,2.5,2.5,3.5,2.98,34
2.65,2.5,3,2.5,3,2.5,2.79,44
3.70,4,4,4,4,4,3.49,58
3.55,3.5,3.5,3.5,3.5,4,3.66,50
3.10,3,3,3,3,3,3.42,40
2.23,2.5,2,2,2,1.5,2.76,46
3.63,3.5,4,4,3,4,3.44,26
3.00,3.5,3,3,2,2.5,3.15,32
3.28,3,3.5,3,2.5,3.5,3.43,48
3.33,3.5,3.5,3,2.5,3,3.56,36
3.40,4,3.5,3,2.5,4,3.48,40
3.85,4,4,4,4,4,3.81,40
3.13,2.5,3.5,3.5,3,3,3.28,30
