@relation TrainMath

@attribute grademath numeric
@attribute math_term1 numeric
@attribute math_term2 numeric
@attribute math_term3 numeric
@attribute math_term4 numeric
@attribute math_term5 numeric
@attribute total numeric
@attribute onetmath {excellent,good,fair}

@data
2.4,2,2,1.5,1.5,2,2.82,fair
2.75,1.5,2,3.5,3,2,3.1,good
1.9,1.5,1.5,3.5,2.5,1,2.63,fair
1.95,1.5,1.5,2.5,2,1,2.49,fair
1.3,2,1,2,1.5,1,2.01,fair
2.7,3,2,3.5,2.5,1,3.01,fair
3.6,4,4,4,4,3.5,3.61,good
1.6,2,1.5,2.5,2.5,1.5,2.42,fair
1.85,3,2,1.5,1.5,1.5,2.27,fair
2.8,3,2.5,4,3.5,2,3.38,good
1.75,1.5,1.5,2.5,2.5,1,2.41,fair
2.6,2,1,3.5,3,1,2.79,fair
1.95,1,1,3.5,3,2,2.46,good
1.35,1,1,3,1.5,1,2.03,fair
2.4,2,2,3.5,3,1,3.02,good
2.3,1,1.5,3.5,3,1,2.56,fair
2.35,2,3,4,2.5,1,2.95,good
1.45,1,2,2.5,2.5,1,2.22,fair
2.2,2.5,1.5,3.5,3,2.5,3.08,fair
1.95,3,3,3.5,3,3,2.87,good
1.3,2.5,1,1.5,1.5,0,1.89,fair
2.95,2.5,2.5,3.5,3,1,2.95,fair
3.95,4,4,4,4,4,3.9,excellent
2.85,2,1.5,3.5,3,1,3.19,fair
3.55,3.5,3,4,4,3.5,3.71,good
2.8,3,1.5,4,3.5,1,3.2,fair
2.2,2.5,1,3.5,3,1,2.68,fair
2.1,3,2,3.5,2.5,1,2.67,fair
3.1,2.5,2.5,4,4,3,3.42,good
3.2,2.5,3,4,4,2.5,3.45,good
2.45,2,1.5,4,3,1,3.15,fair
3.8,3.5,3,4,4,3,3.71,good
3.85,3,2.5,3.5,4,2,3.69,good
3.3,2.5,3,4,3.5,1.5,3.49,good
2.75,3,2,4,3.5,3,3.28,good
3.45,3,3,4,4,2.5,3.67,good
3.7,4,2.5,4,4,3,3.83,good
3.9,3,3,4,4,4,3.7,good
4,3,2.5,4,4,3.5,3.83,good
3.15,3.5,3.5,4,4,3,3.52,good
3.6,4,4,4,4,3,3.72,excellent
1.85,1.5,1,2.5,2.5,1,2.49,fair
