gradethai,thai_term1,thai_term2,thai_term3,thai_term4,thai_term5,tatal,onetthai
1.9,1.5,2,3,1,2,2.77,fair
3.5,3,3.5,3.5,4,3.5,3.64,good
3.5,3,3.5,3.5,4,3.5,3.8,excellent
1.9,2.5,2.5,1,1,2.5,2.84,good
3.3,3,4,2,4,3.5,3.47,good
3.2,2.5,2.5,4,4,3,3.53,excellent
3.1,2.5,2.5,3.5,4,3,3.61,excellent
3.5,2.5,4,4,4,3,3.71,excellent
3.9,3.5,4,4,4,4,3.37,good
2.5,2,2.5,3,3,2,3.1,good
2.4,2.5,2.5,3.5,1.5,2,3.06,excellent
3.8,3.5,3.5,4,4,4,3.85,excellent
3.9,4,4,4,4,3.5,3.7,good
4,4,4,4,4,4,3.96,excellent
3.9,3.5,4,4,4,4,3.77,excellent
4,4,4,4,4,4,3.95,excellent
3.7,4,3.5,3.5,4,3.5,3.49,good
4,4,4,4,4,4,3.88,excellent
4,4,4,4,4,4,3.89,excellent
4,4,4,4,4,4,3.97,excellent
4,4,4,4,4,4,3.92,excellent
4,4,4,4,4,4,3.91,excellent
3.5,3,3.5,3.5,3.5,4,3.65,good
3.3,2.5,3,3,4,4,3.73,excellent
3.5,2.5,3,4,4,4,3.71,excellent
3.3,2.5,3,3.5,4,3.5,3.5,good
3.9,3.5,4,4,4,4,3.82,excellent
4,4,4,4,4,4,3.99,excellent
3.8,4,3.5,4,4,3.5,3.74,excellent
3.5,3,4,3,4,3.5,3.77,excellent
4,4,4,4,4,4,3.95,excellent
3.8,3.5,3.5,4,4,4,3.72,good
4,4,4,4,4,4,3.96,excellent
3.3,2.5,3,3,4,4,3.56,good
3.9,3.5,4,4,4,4,3.84,excellent
2.8,3,2.5,2.5,3.5,2.5,3.16,excellent
3,2,3,3.5,3.5,3,3.26,good
3.6,2.5,4,4,4,3.5,3.25,good
2.6,2,3,3,2.5,2.5,2.61,good
2.5,1.5,2.5,3.5,2.5,2.5,2.74,good
2.7,2.5,3,3,3,2,2.74,good
2.7,2,2.5,3,3,3,3.22,good
2.7,1.5,2.5,4,3,2.5,3.26,good
2.8,2.5,2.5,3,3,3,3.43,good
2.8,2,2.5,3.5,3,3,3.16,excellent
2.2,2,2.5,2.5,2,2,2.58,good
2.5,1.5,2.5,3.5,2.5,2.5,2.98,good
2.5,1.5,2.5,3,2.5,3,3.04,good
3.6,3.5,3,4,4,3.5,3.6,good
3.6,3,3.5,4,3.5,4,3.55,good
3.5,2.5,4,4,4,3,3.56,fair
3.9,3.5,4,4,4,4,3.94,excellent
3.9,3.5,4,4,4,4,3.93,good
3.6,3,3,4,4,4,3.68,good
3.7,3,3.5,4,4,4,3.61,excellent
3.7,2.5,4,4,4,4,3.59,good
