Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
3.1,2.5,2.76,2.88,3.7,3.3,3.45,3.92,general
3.3,2.92,2.59,2.96,3.7,3.42,3.55,3.42,general
3,2.36,2.76,2.48,3.6,3.3,3.3,3.5,general
2.9,2.42,2.12,2.58,3.4,2.68,3.4,3.58,general
3.7,3.3,2.85,2.65,3.9,3.5,3.6,3.67,general
3.7,3,2.76,2.92,3.6,3.46,3.75,3.75,general
3,1.66,2.32,2.04,3.7,3.06,3.1,3.33,general
3.2,3.02,2.68,2.92,3.4,3.04,3.6,3.42,Social
3.3,2.92,2.85,3.15,3.5,3.34,3.8,3.67,Social
3.3,2.24,2.5,2.94,3.7,2.98,3.6,3.5,general
3.2,2.46,2.59,3.42,3.2,3.16,3.3,3.58,general
3.1,2.22,2.65,2.81,3.1,3.14,3.85,3.67,Social
2.9,2.28,2.5,2.65,3.5,3,3.35,3.5,general
3,2.28,2.59,2.9,3.5,3.52,3.65,3.58,Social
3.5,3.44,3.12,3.71,3.6,3.7,3.9,3.92,general
2.8,2.18,2.59,2.1,2.9,2.8,3.5,3.58,general
3.2,2.32,2.5,2.73,3.2,2.98,3.75,3.5,Social
2.2,1.58,1.65,1.85,2.9,2.08,3.25,3.08,Social
2.2,2.74,2.56,2.67,3.9,2.6,3.15,3,general
2.7,3.06,3.18,3.09,2.6,3.26,3.5,3.71,general
3,3.94,3.57,3.39,3.2,3.4,3.65,3.93,calculate
4,4,3.98,3.94,3.6,4,4,4,calculate
3.9,4,3.86,3.93,3.3,3.9,4,4,calculate
1.8,2.82,2.46,1.59,2.2,3.6,3.6,3.43,Social
2.9,3.88,3.91,2.39,3,3.26,3.55,3.71,calculate
3.6,3.56,3.59,3.8,3.2,3.9,3.9,3.86,Social
2,3.84,2.98,3.48,2.7,2.94,3.5,3.64,calculate
2.4,4,3.54,2.24,3.1,3.16,3.7,3.43,calculate
2.9,2.98,2.98,2.11,3.1,2.98,3.8,3.71,Social
3.5,3.2,3.52,3.56,3,3.4,3.75,3.71,Social
4,4,3.98,4,3.5,3.8,3.95,4,calculate
3.8,3.86,3.88,3.44,3.4,3.76,3.95,3.93,Social
3.9,4,4,4,3.5,3.72,3.9,4,calculate
4,4,3.98,3.93,3.5,3.92,4,4,calculate
3.8,4,3.95,3.85,3.8,3.84,3.95,4,calculate
4,4,3.98,3.94,4,3.98,4,4,calculate
3.5,3.74,3.54,3.59,3.5,3.58,3.75,3.71,Social
4,4,4,4,4,4,4,4,calculate
3.9,3.92,3.77,3.89,4,3.98,4,4,general
4,4,4,3.83,3.6,3.96,4,4,calculate
3.9,3.62,4,3.81,3.6,3.88,3.9,3.93,calculate
3.7,3.7,3.39,3.76,3.4,3.74,3.9,3.79,Social
3.8,4,3.96,3.65,3.7,3.84,3.9,4,calculate
3.8,4,3.68,3.69,3.8,3.7,4,3.86,calculate
4,4,3.91,3.94,3.7,3.94,3.9,3.93,calculate
3.6,3.34,3.41,3.19,3,3.72,3.7,3.86,general
4,3.96,4,3.89,3.7,3.82,4,4,calculate
3.7,2.88,3.3,2.89,3.5,3.6,3.85,3.57,Social
3.8,3.92,3.95,4,3.8,3.96,3.95,4,language
3.6,4,3.84,4,3.6,3.98,4,4,calculate
4,4,4,4,3.9,3.96,4,4,calculate
2.4,3.42,2.68,2.96,2.7,2.66,3.1,3.07,calculate
2.4,2.02,2.55,3,2.5,2.76,3.1,3.5,general
2.8,2.18,2.9,3.39,2.8,3.14,3.45,3.43,Social
2.8,2.68,2.5,2.78,2.7,3.5,3.1,3.14,Social
2.6,3.5,3.98,3.87,2.8,3.52,3.95,3.71,calculate
3,2.8,3.43,3.2,3.7,3.64,3.6,3.79,general
3.4,4,3.78,3.87,3.2,3.84,3.75,3.79,calculate
1.5,1.6,2.13,2.72,2.4,2.36,3.05,2.64,Social
2.2,2.68,2.65,3.56,2.4,2.8,3.1,3.14,language
2.4,2.46,2.6,3.04,2.5,3,3.25,3.36,general
3,2.64,2.95,3.63,2.4,3.34,3.4,3.71,general
2.8,2.66,3.3,3.63,2.6,3.22,3.65,3.57,Social
2.9,3.34,2.63,2.8,3.3,3.1,3.6,3.71,general
3.8,2.4,3.53,3.74,3.5,3.94,3.5,4,general
4,3.6,3.93,3.89,3.7,3.96,3.7,3.93,language
3.2,2.08,2.9,3.2,3.3,3.5,3.2,3.79,general
3.4,3.42,3.93,3.94,3.1,3.9,3.85,4,general
3.9,3.36,3.98,3.83,3.4,4,3.9,4,general
